hidden_size,game,opponent,seed,geometric_states,lstar_states,minimized_states,fidelity
8,stag-hunt,0.5,1415,8,8,8,0.4922222222222222
8,stag-hunt,0.7,1415,8,8,8,1.0
8,stag-hunt,0.9,1415,8,8,8,1.0
8,stag-hunt,0.1,1617,8,8,7,1.0
8,stag-hunt,0.3,1617,8,8,5,1.0
8,stag-hunt,0.5,1617,8,8,7,1.0
8,stag-hunt,0.7,1617,8,8,7,1.0
8,stag-hunt,0.9,1617,8,8,4,1.0
8,stag-hunt,0.1,1819,8,8,8,1.0
8,stag-hunt,0.3,1819,8,8,7,0.6983838383838383
8,stag-hunt,0.5,1819,8,8,7,1.0
8,stag-hunt,0.7,1819,8,8,6,1.0
8,stag-hunt,0.9,1819,8,8,8,1.0
8,stag-hunt,0.1,2021,8,8,5,1.0
8,stag-hunt,0.3,2021,8,8,8,1.0
8,stag-hunt,0.5,2021,8,8,7,1.0
8,stag-hunt,0.7,2021,8,8,7,1.0
8,stag-hunt,0.9,2021,8,8,8,1.0
8,prisoners-dilemma,0.1,456,8,8,8,1.0
8,prisoners-dilemma,0.3,456,8,8,8,1.0
8,prisoners-dilemma,0.5,456,8,8,3,1.0
8,prisoners-dilemma,0.7,456,8,8,8,0.6971717171717172
8,prisoners-dilemma,0.9,456,8,8,8,0.8997979797979798
8,hawk-dove,0.1,42,8,8,8,1.0
8,hawk-dove,0.3,42,8,8,5,1.0
8,hawk-dove,0.5,42,8,8,7,1.0
8,hawk-dove,0.7,42,8,8,3,1.0
8,hawk-dove,0.9,42,8,8,8,1.0
8,hawk-dove,0.1,123,8,8,8,1.0
8,hawk-dove,0.3,123,8,8,8,1.0
8,hawk-dove,0.5,123,8,8,5,1.0
8,hawk-dove,0.7,123,8,8,7,1.0
8,hawk-dove,0.9,123,8,8,8,1.0
8,hawk-dove,0.1,456,8,8,8,1.0
8,hawk-dove,0.3,456,8,8,7,1.0
8,hawk-dove,0.5,456,8,8,8,0.5061616161616161
8,hawk-dove,0.7,456,8,8,3,1.0
8,hawk-dove,0.9,456,8,8,8,1.0
8,hawk-dove,0.1,789,8,8,6,1.0
8,hawk-dove,0.3,789,8,8,7,1.0
8,hawk-dove,0.5,789,8,8,8,1.0
8,hawk-dove,0.7,789,8,8,8,1.0
8,hawk-dove,0.9,789,8,8,8,1.0
8,hawk-dove,0.1,1011,8,8,7,1.0
8,hawk-dove,0.3,1011,8,8,8,1.0
8,hawk-dove,0.5,1011,8,8,8,1.0
8,hawk-dove,0.7,1011,8,8,6,1.0
8,hawk-dove,0.9,1011,8,8,8,1.0
8,hawk-dove,0.1,1213,8,8,8,1.0
8,hawk-dove,0.3,1213,8,8,7,1.0
8,hawk-dove,0.5,1213,8,8,3,1.0
8,hawk-dove,0.7,1213,8,8,8,1.0
8,hawk-dove,0.9,1213,8,8,8,1.0
8,hawk-dove,0.1,1415,8,8,8,1.0
8,hawk-dove,0.3,1415,8,8,8,0.2960606060606061
8,hawk-dove,0.5,1415,8,8,6,1.0
8,hawk-dove,0.7,1415,8,8,8,1.0
8,hawk-dove,0.9,1415,8,8,8,1.0
8,hawk-dove,0.1,1617,8,8,8,0.10474747474747474
8,hawk-dove,0.3,1617,8,8,3,1.0
8,hawk-dove,0.5,1617,8,8,8,0.5007070707070707
8,hawk-dove,0.7,1617,8,8,8,1.0
8,hawk-dove,0.9,1617,8,8,8,1.0
8,hawk-dove,0.1,1819,8,8,8,0.8953535353535353
8,hawk-dove,0.3,1819,8,8,3,1.0
8,hawk-dove,0.5,1819,8,8,4,1.0
8,hawk-dove,0.7,1819,8,8,8,0.301010101010101
8,hawk-dove,0.9,1819,8,8,8,1.0
8,hawk-dove,0.1,2021,8,8,8,0.9005050505050505
8,hawk-dove,0.3,2021,8,8,8,1.0
8,hawk-dove,0.5,2021,8,8,7,1.0
8,hawk-dove,0.7,2021,8,8,8,1.0
8,hawk-dove,0.9,2021,8,8,8,1.0
8,prisoners-dilemma,0.1,789,8,8,7,1.0
8,prisoners-dilemma,0.3,789,8,8,7,1.0
8,prisoners-dilemma,0.5,789,8,8,3,1.0
8,prisoners-dilemma,0.7,789,8,8,8,0.6983838383838383
8,prisoners-dilemma,0.9,789,8,8,8,1.0
8,prisoners-dilemma,0.1,1011,8,8,8,1.0
8,prisoners-dilemma,0.3,1011,8,8,3,1.0
8,prisoners-dilemma,0.5,1011,8,8,8,1.0
8,prisoners-dilemma,0.7,1011,8,8,8,1.0
8,prisoners-dilemma,0.9,1011,8,8,7,1.0
8,prisoners-dilemma,0.1,1213,8,8,7,1.0
8,prisoners-dilemma,0.3,1213,8,8,8,1.0
8,prisoners-dilemma,0.5,1213,8,8,6,1.0
8,prisoners-dilemma,0.7,1213,8,8,8,1.0
8,prisoners-dilemma,0.9,1213,8,8,3,1.0
8,prisoners-dilemma,0.1,1415,8,8,8,1.0
8,prisoners-dilemma,0.3,1415,8,8,8,1.0
8,prisoners-dilemma,0.5,1415,8,8,6,1.0
8,prisoners-dilemma,0.7,1415,8,8,8,1.0
8,prisoners-dilemma,0.9,1415,8,8,8,1.0
8,prisoners-dilemma,0.1,1617,8,8,8,1.0
8,prisoners-dilemma,0.3,1617,8,8,8,1.0
8,prisoners-dilemma,0.5,1617,8,8,6,1.0
8,prisoners-dilemma,0.7,1617,8,8,6,1.0
8,prisoners-dilemma,0.9,1617,8,8,8,1.0
8,prisoners-dilemma,0.1,1819,8,8,7,1.0
8,prisoners-dilemma,0.3,1819,8,8,8,1.0
8,prisoners-dilemma,0.5,1819,8,8,7,1.0
8,prisoners-dilemma,0.7,1819,8,8,8,0.30626262626262624
8,prisoners-dilemma,0.9,1819,8,8,8,1.0
8,prisoners-dilemma,0.1,2021,8,8,8,1.0
8,prisoners-dilemma,0.3,2021,8,8,6,1.0
8,prisoners-dilemma,0.5,2021,8,8,7,1.0
8,prisoners-dilemma,0.7,2021,8,8,8,1.0
8,prisoners-dilemma,0.9,2021,8,8,8,1.0
4,prisoners-dilemma,0.1,42,4,4,3,1.0
4,prisoners-dilemma,0.3,42,4,4,3,1.0
4,prisoners-dilemma,0.5,42,4,4,3,1.0
4,prisoners-dilemma,0.7,42,4,4,4,1.0
4,prisoners-dilemma,0.9,42,4,4,3,1.0
4,prisoners-dilemma,0.1,123,4,4,4,1.0
4,prisoners-dilemma,0.3,123,4,4,4,0.305959595959596
4,prisoners-dilemma,0.5,123,4,4,4,1.0
4,prisoners-dilemma,0.7,123,4,4,4,1.0
4,prisoners-dilemma,0.9,123,4,4,4,1.0
4,stag-hunt,0.1,42,4,4,3,1.0
4,stag-hunt,0.3,42,4,4,4,1.0
4,stag-hunt,0.5,42,4,4,3,1.0
4,stag-hunt,0.7,42,4,4,3,1.0
4,stag-hunt,0.9,42,4,4,3,1.0
4,stag-hunt,0.1,123,4,4,4,1.0
4,stag-hunt,0.3,123,4,4,4,0.7013131313131313
4,stag-hunt,0.5,123,4,4,3,1.0
4,stag-hunt,0.7,123,4,4,4,0.7084848484848485
4,stag-hunt,0.9,123,4,4,4,0.0992929292929293
4,stag-hunt,0.1,456,4,4,3,1.0
4,stag-hunt,0.3,456,4,4,3,1.0
4,stag-hunt,0.5,456,4,4,3,1.0
4,stag-hunt,0.7,456,4,4,3,1.0
4,stag-hunt,0.9,456,4,4,4,1.0
4,stag-hunt,0.1,789,4,4,3,1.0
4,stag-hunt,0.3,789,4,4,3,1.0
4,stag-hunt,0.5,789,4,4,4,1.0
4,stag-hunt,0.7,789,4,4,3,1.0
4,stag-hunt,0.9,789,4,4,4,1.0
4,stag-hunt,0.1,1011,4,4,4,1.0
4,stag-hunt,0.3,1011,4,4,3,1.0
4,stag-hunt,0.5,1011,4,4,3,1.0
4,stag-hunt,0.7,1011,4,4,4,1.0
4,stag-hunt,0.9,1011,4,4,4,1.0
4,stag-hunt,0.1,1213,4,4,4,1.0
4,stag-hunt,0.3,1213,4,4,3,1.0
4,stag-hunt,0.5,1213,4,4,3,1.0
4,stag-hunt,0.7,1213,4,4,3,1.0
4,stag-hunt,0.9,1213,4,4,4,1.0
4,stag-hunt,0.1,1415,4,4,3,1.0
4,stag-hunt,0.3,1415,4,4,3,1.0
4,stag-hunt,0.5,1415,4,4,3,1.0
4,stag-hunt,0.7,1415,4,4,3,1.0
4,stag-hunt,0.9,1415,4,4,3,1.0
4,stag-hunt,0.1,1617,4,4,4,1.0
4,stag-hunt,0.3,1617,4,4,3,1.0
4,stag-hunt,0.5,1617,4,4,3,1.0
4,stag-hunt,0.7,1617,4,4,4,1.0
4,stag-hunt,0.9,1617,4,4,4,1.0
4,stag-hunt,0.1,1819,4,4,4,1.0
4,stag-hunt,0.3,1819,4,4,3,0.6990909090909091
4,stag-hunt,0.5,1819,4,4,3,1.0
4,stag-hunt,0.7,1819,4,4,4,1.0
4,stag-hunt,0.9,1819,4,4,4,1.0
4,stag-hunt,0.1,2021,4,4,4,1.0
4,stag-hunt,0.3,2021,4,4,3,1.0
4,stag-hunt,0.5,2021,4,4,3,1.0
4,stag-hunt,0.7,2021,4,4,3,1.0
4,stag-hunt,0.9,2021,4,4,4,1.0
4,prisoners-dilemma,0.1,456,4,4,4,1.0
4,prisoners-dilemma,0.3,456,4,4,4,1.0
4,prisoners-dilemma,0.5,456,4,4,3,1.0
4,prisoners-dilemma,0.7,456,4,4,4,0.705050505050505
4,prisoners-dilemma,0.9,456,4,4,4,1.0
4,hawk-dove,0.1,42,4,4,3,1.0
4,hawk-dove,0.3,42,4,4,4,1.0
4,hawk-dove,0.5,42,4,4,3,1.0
4,hawk-dove,0.7,42,4,4,3,1.0
4,hawk-dove,0.9,42,4,4,4,1.0
4,hawk-dove,0.1,123,4,4,4,1.0
4,hawk-dove,0.3,123,4,4,3,1.0
4,hawk-dove,0.5,123,4,4,4,1.0
4,hawk-dove,0.7,123,4,4,4,1.0
4,hawk-dove,0.9,123,4,4,4,1.0
4,hawk-dove,0.1,456,4,4,4,1.0
4,hawk-dove,0.3,456,4,4,3,1.0
4,hawk-dove,0.5,456,4,4,3,1.0
4,hawk-dove,0.7,456,4,4,3,1.0
4,hawk-dove,0.9,456,4,4,4,1.0
4,hawk-dove,0.1,789,4,4,4,1.0
4,hawk-dove,0.3,789,4,4,4,1.0
4,hawk-dove,0.5,789,4,4,4,1.0
4,hawk-dove,0.7,789,4,4,4,1.0
4,hawk-dove,0.9,789,4,4,3,1.0
4,hawk-dove,0.1,1011,4,4,4,1.0
4,hawk-dove,0.3,1011,4,4,4,1.0
4,hawk-dove,0.5,1011,4,4,3,1.0
4,hawk-dove,0.7,1011,4,4,4,1.0
4,hawk-dove,0.9,1011,4,4,3,1.0
4,hawk-dove,0.1,1213,4,4,3,1.0
4,hawk-dove,0.3,1213,4,4,4,1.0
4,hawk-dove,0.5,1213,4,4,3,1.0
4,hawk-dove,0.7,1213,4,4,3,1.0
4,hawk-dove,0.9,1213,4,4,3,1.0
