game,opponent,layer,grad_norm,input_sensitivity
prisoners-dilemma,0.5,lstm.bias_ih_l0,4.437187726580305e-06,3.260097685142682e-07
prisoners-dilemma,0.5,lstm.bias_hh_l0,4.437187726580305e-06,3.260097685142682e-07
prisoners-dilemma,0.5,lstm.weight_ih_l1,0.00014510133769363165,3.260097685142682e-07
prisoners-dilemma,0.5,lstm.weight_hh_l1,0.000124049634905532,3.260097685142682e-07
prisoners-dilemma,0.5,lstm.bias_ih_l1,1.4217521311366e-05,3.260097685142682e-07
prisoners-dilemma,0.5,lstm.bias_hh_l1,1.4217521311366e-05,3.260097685142682e-07
prisoners-dilemma,0.5,policy_head.0.weight,0.0007365287165157497,3.260097685142682e-07
prisoners-dilemma,0.5,policy_head.0.bias,8.54402533150278e-05,3.260097685142682e-07
prisoners-dilemma,0.5,policy_head.3.weight,0.0024183359928429127,3.260097685142682e-07
prisoners-dilemma,0.5,policy_head.3.bias,0.00014375205500982702,3.260097685142682e-07
prisoners-dilemma,0.7,payoff_matrix_embed.0.weight,5.274746399663854e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,payoff_matrix_embed.0.bias,8.915948228604975e-07,1.2694823681158596e-07
prisoners-dilemma,0.7,payoff_matrix_embed.2.weight,1.1269422657278483e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,payoff_matrix_embed.2.bias,1.0243390988762258e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,round_number_embed.0.weight,3.470211595413275e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,round_number_embed.0.bias,9.034200957103167e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,round_number_embed.2.weight,1.039726839735522e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,round_number_embed.2.bias,1.2286709534237161e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,opponent_action_embed.0.weight,2.6279324174538488e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,opponent_action_embed.0.bias,2.729289235503529e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,opponent_action_embed.2.weight,1.2620736242752173e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,opponent_action_embed.2.bias,2.4177534214686602e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,agent_action_embed.0.weight,6.856784917630421e-09,1.2694823681158596e-07
prisoners-dilemma,0.7,agent_action_embed.0.bias,0.0001014981753542088,1.2694823681158596e-07
prisoners-dilemma,0.7,agent_action_embed.2.weight,7.969888997649832e-07,1.2694823681158596e-07
prisoners-dilemma,0.7,agent_action_embed.2.bias,1.0587518772808835e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,agent_reward_embed.0.weight,0.0,1.2694823681158596e-07
prisoners-dilemma,0.7,agent_reward_embed.0.bias,4.414669456309639e-05,1.2694823681158596e-07
prisoners-dilemma,0.7,agent_reward_embed.2.weight,1.2691450592683395e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,agent_reward_embed.2.bias,1.0003300303651486e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,opponent_reward_embed.0.weight,0.0,1.2694823681158596e-07
prisoners-dilemma,0.7,opponent_reward_embed.0.bias,3.0185701689333655e-05,1.2694823681158596e-07
prisoners-dilemma,0.7,opponent_reward_embed.2.weight,2.787982793961419e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,opponent_reward_embed.2.bias,2.151258968297043e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,lstm.weight_ih_l0,4.001168053946458e-05,1.2694823681158596e-07
prisoners-dilemma,0.7,lstm.weight_hh_l0,3.038710383407306e-05,1.2694823681158596e-07
prisoners-dilemma,0.7,lstm.bias_ih_l0,3.5330319860804593e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,lstm.bias_hh_l0,3.5330319860804593e-06,1.2694823681158596e-07
prisoners-dilemma,0.7,lstm.weight_ih_l1,0.00013413772103376687,1.2694823681158596e-07
prisoners-dilemma,0.7,lstm.weight_hh_l1,0.00011445616109995171,1.2694823681158596e-07
prisoners-dilemma,0.7,lstm.bias_ih_l1,1.499625614087563e-05,1.2694823681158596e-07
prisoners-dilemma,0.7,lstm.bias_hh_l1,1.499625614087563e-05,1.2694823681158596e-07
prisoners-dilemma,0.7,policy_head.0.weight,0.0003920670715160668,1.2694823681158596e-07
prisoners-dilemma,0.7,policy_head.0.bias,5.30860161234159e-05,1.2694823681158596e-07
prisoners-dilemma,0.7,policy_head.3.weight,0.0011836086632683873,1.2694823681158596e-07
prisoners-dilemma,0.7,policy_head.3.bias,7.74930595071055e-05,1.2694823681158596e-07
prisoners-dilemma,0.9,payoff_matrix_embed.0.weight,1.66526092471031e-06,1.1266874366810953e-07
prisoners-dilemma,0.9,payoff_matrix_embed.0.bias,2.8148045316811476e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,payoff_matrix_embed.2.weight,3.2202575539486133e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,payoff_matrix_embed.2.bias,3.3736887417035177e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,round_number_embed.0.weight,1.079500293599267e-06,1.1266874366810953e-07
prisoners-dilemma,0.9,round_number_embed.0.bias,2.2134649952931795e-06,1.1266874366810953e-07
prisoners-dilemma,0.9,round_number_embed.2.weight,2.7452514927972516e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,round_number_embed.2.bias,3.5307240864312917e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,opponent_action_embed.0.weight,1.5291375348169822e-06,1.1266874366810953e-07
prisoners-dilemma,0.9,opponent_action_embed.0.bias,4.138908025197452e-06,1.1266874366810953e-07
prisoners-dilemma,0.9,opponent_action_embed.2.weight,9.376946081829374e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,opponent_action_embed.2.bias,9.542386578687e-07,1.1266874366810953e-07
prisoners-dilemma,0.9,agent_action_embed.0.weight,5.756142784640872e-10,1.1266874366810953e-07
