model_id,condition_id,train_game,train_opponent,seed,env_payoff_magnitude,env_round_magnitude,env_total,soc_opp_action,soc_agent_action,soc_agent_reward,soc_opp_reward,soc_total,social_ratio,var_env_payoff,var_env_round,var_soc_opp_action,var_soc_agent_action,var_soc_agent_reward,var_soc_opp_reward,var_env_total,var_soc_total,var_social_ratio,abl_env_payoff,abl_env_round,abl_soc_opp_action,abl_soc_agent_action,abl_soc_agent_reward,abl_soc_opp_reward
11,11,stag-hunt,0.3,4,2.789222478866577,2.702726364135742,5.491948843002319,2.751511335372925,2.0977513790130615,2.525393486022949,2.5757358074188232,9.950392007827759,0.6443577501589011,0.17460303008556366,0.06267150491476059,0.6174381971359253,0.33244070410728455,0.27984920144081116,0.26013073325157166,0.23727453500032425,1.4898588359355927,0.8626194485074725,0.0026368002872914076,0.00222806166857481,0.0026690997183322906,0.00010171232861466706,0.002001079497858882,0.002085269195958972
12,12,stag-hunt,0.5,0,2.6733007431030273,2.945564031600952,5.6188647747039795,2.9833884239196777,2.210073232650757,2.3670897483825684,3.169106960296631,10.729658365249634,0.6563075008914889,0.13261505961418152,0.037451643496751785,0.5215178728103638,0.17694763839244843,0.11649797856807709,0.1379077285528183,0.1700667031109333,0.9528712183237076,0.8485519993004957,1.36137003892145e-07,3.7759541271498165e-08,5.239486654318171e-06,2.201318693551002e-06,1.0851025677993675e-07,5.055666179032414e-07
12,12,stag-hunt,0.5,1,2.7101144790649414,2.7812185287475586,5.4913330078125,2.5570271015167236,2.48437762260437,2.914447784423828,2.6768105030059814,10.632663011550903,0.6594310119391046,0.0651269182562828,0.013791653327643871,0.5255934596061707,0.09577532112598419,0.15090720355510712,0.2634923458099365,0.07891857158392668,1.0357683300971985,0.9292011313087963,0.0011078796815127134,0.0036979655269533396,0.0028493914287537336,0.000558644300326705,0.0016168904257938266,0.0021963147446513176
12,12,stag-hunt,0.5,2,2.6002821922302246,2.437373638153076,5.037655830383301,2.9987783432006836,2.6521828174591064,2.442962884902954,2.5533270835876465,10.64725112915039,0.6788214400391274,0.16752350330352783,0.00700185913592577,0.21069395542144775,0.14716856181621552,0.17738348245620728,0.19528180360794067,0.1745253624394536,0.7305278033018112,0.8071656240255098,0.00024536135606467724,0.0008293020655401051,2.821280031639617e-05,3.2151372579392046e-05,0.0010237102396786213,0.0004166074504610151
12,12,stag-hunt,0.5,3,2.3425214290618896,2.2685556411743164,4.611077070236206,2.739866256713867,2.6997504234313965,2.7005794048309326,2.849287509918213,10.98948359489441,0.7044287593751298,0.1434725970029831,0.041838180273771286,0.5446524620056152,0.37027135491371155,0.2086404412984848,0.3387189209461212,0.18531077727675438,1.4622831791639328,0.8875264281273021,4.1976571196755685e-07,1.5639365074093803e-06,4.5397877102004713e-07,2.549588771216804e-07,9.240209806193889e-07,8.245110620919149e-07
12,12,stag-hunt,0.5,4,2.787292957305908,2.707058906555176,5.494351863861084,2.7548303604125977,2.1111364364624023,2.523070812225342,2.560112237930298,9.94914984703064,0.6442288823663532,0.16517598927021027,0.03535904362797737,0.6312735676765442,0.2139926701784134,0.23308610916137695,0.15814362466335297,0.20053503289818764,1.2364959716796875,0.8604518397589519,-2.4735926640317984e-09,4.100799699813251e-08,2.9471516427292954e-07,1.1533498600613257e-08,2.9504299003946244e-09,1.6003847136403238e-08
13,13,stag-hunt,0.7,0,2.6731269359588623,2.943612575531006,5.616739511489868,2.998990058898926,2.206308603286743,2.370082139968872,3.1592886447906494,10.73466944694519,0.6564981326216289,0.13954517245292664,0.03031589835882187,0.15331289172172546,0.15991613268852234,0.08312591910362244,0.09036435186862946,0.1698610708117485,0.4867192953824997,0.7412943189326264,7.598844240419567e-05,8.094797522062436e-05,2.302850589330774e-06,1.6909887108340627e-06,0.00010925452079391107,7.233393262140453e-05
13,13,stag-hunt,0.7,1,2.69566011428833,2.7725753784179688,5.468235492706299,2.5852692127227783,2.5059170722961426,2.905325412750244,2.6686229705810547,10.66513466835022,0.6610605572104346,0.08040376007556915,0.007411543745547533,0.21095271408557892,0.3558436632156372,0.18775217235088348,0.07116848230361938,0.08781530382111669,0.825717031955719,0.9038728018899936,3.602034121286124e-05,9.917409624904394e-05,8.621304345979297e-07,3.949122856283793e-06,3.0258413971750997e-05,7.292746158782393e-05
13,13,stag-hunt,0.7,2,2.6038947105407715,2.438030481338501,5.0419251918792725,2.9986894130706787,2.6514246463775635,2.4425530433654785,2.555712938308716,10.648380041122437,0.6786598401365387,0.16362892091274261,0.006282878573983908,0.18996022641658783,0.18521374464035034,0.1625688225030899,0.13374412059783936,0.16991179948672652,0.6714869141578674,0.7980603051426852,0.0002762691874522716,0.0009344892459921539,1.2627076102944557e-05,1.9426144717726856e-05,0.0009638949413783848,0.00047528641880489886
13,13,stag-hunt,0.7,3,2.3279495239257812,2.2510437965393066,4.578993320465088,2.7078051567077637,2.694732189178467,2.700329065322876,2.8432118892669678,10.946078300476074,0.7050581515972743,0.17755456268787384,0.03423817455768585,0.20035068690776825,0.27256447076797485,0.2365865409374237,0.15340545773506165,0.2117927372455597,0.8629071563482285,0.8029284840279212,2.6807963877217844e-05,5.3950734582031146e-05,4.79055074720236e-07,4.337615337135503e-06,3.0417531888815574e-05,2.675208088476211e-05
